Generation, Best # of Correct Squares (Column),Average Column Fitness,Best Column Fitness,Worst Column Fitness,Best # of Correct Squares (Row),Average Row Fitness,Best Row Fitness,Worst Row Fitness,Best # of Correct Squares (WoC),WoC Fitness
1,40,57.27,70,68,39,60.42,55,50,56,37
2,41,58.5,38,84,44,61.85,41,87,57,39
3,40,56.9,37,82,44,61.17,41,89,57,39
4,40,56.39,37,88,44,59.71,39,82,57,39
5,40,55.95,37,84,44,59.48,39,86,57,39
6,40,55.27,37,83,44,58.63,39,83,58,37
7,40,54.85,37,89,44,58.61,39,89,58,38
8,40,54.66,37,93,44,58.13,39,83,58,38
9,40,54.35,37,84,44,58.29,39,88,58,38
10,40,53.94,37,80,46,57.94,37,86,58,38
11,40,54.01,37,83,46,57.91,37,82,58,38
12,40,53.47,37,76,46,57.24,37,84,58,38
13,40,53.71,37,83,46,56.84,37,85,58,41
14,40,53.65,37,85,46,56.88,37,86,58,41
15,42,53.35,34,80,46,56.95,37,89,58,41
16,42,53.72,34,81,46,56.94,37,85,58,38
17,42,53.65,34,79,46,57.27,37,86,59,37
18,42,52.9,34,82,46,56.92,37,84,58,41
19,42,52.93,34,77,46,56.69,37,86,59,37
20,42,53.43,34,83,46,56.32,37,88,59,37
21,48,53.8,32,81,46,56.42,37,85,59,35
22,48,53.39,32,80,46,56.28,37,88,59,34
23,48,53.61,32,82,46,56.15,37,86,59,34
24,48,53.11,32,81,46,55.88,37,82,58,41
25,48,53.18,32,82,46,55.99,37,88,58,41
26,48,53.07,32,81,46,56.39,37,86,58,41
27,48,52.91,32,80,46,55.68,37,89,58,41
28,48,53.1,32,79,44,56.02,36,89,58,41
29,48,52.92,32,80,44,56.03,36,87,59,36
30,48,53.09,32,81,44,56.18,36,84,59,36
31,48,53.67,32,89,44,55.98,36,83,58,41
32,48,53.75,32,90,50,56.24,35,82,59,36
33,48,53.58,32,79,50,55.94,35,85,59,36
34,48,53.92,32,82,50,56.1,35,84,58,39
35,48,53.52,32,85,50,56.06,35,85,58,39
36,48,53.32,32,76,50,55.83,35,82,58,40
37,48,53.72,32,86,50,56.06,35,81,58,40
38,48,53.65,32,84,50,56.1,35,86,59,36
39,48,53.4,32,80,50,56.09,35,93,59,36
40,48,53.06,32,80,50,56.04,35,80,59,36
41,48,52.96,32,78,50,55.98,35,90,59,38
42,48,53.04,32,90,50,55.65,35,83,59,36
43,48,53.05,32,85,50,55.65,35,81,58,39
44,48,53.16,32,88,50,54.88,35,84,59,36
45,48,53.17,32,91,50,55.1,35,83,58,41
46,48,52.88,32,86,50,55.46,35,82,57,44
47,48,52.83,32,93,50,54.88,35,81,57,44
48,48,52.67,32,79,50,55.51,35,87,58,41
49,48,53.05,32,79,50,55.21,35,82,59,40
50,48,53.08,32,82,50,55.7,35,90,58,43
51,48,53.17,32,83,50,55.46,35,89,59,41
52,48,52.57,32,79,50,55.59,35,83,58,43
53,48,52.82,32,85,50,55.39,35,89,58,41
54,48,52.7,32,80,50,55.85,35,87,59,39
55,48,52.79,32,77,50,55.04,35,80,59,40
56,48,52.56,32,81,50,55.37,35,87,58,41
57,48,53.22,32,80,50,55.56,35,84,59,39
58,48,52.79,32,79,50,55.77,35,86,59,36
59,48,53.4,32,79,50,55.74,35,86,59,39
60,48,53.1,32,80,50,55.41,35,82,59,36
61,48,53.54,32,83,50,55.39,35,82,59,36
62,48,53.2,32,77,50,55.49,35,87,59,37
63,48,53.17,32,76,50,55.42,35,88,59,37
64,48,53.38,32,92,49,55.55,34,87,59,37
65,48,53.2,32,82,49,55.51,34,86,59,37
66,48,52.67,32,82,49,55.56,34,85,59,37
67,48,52.46,32,83,49,55.3,34,84,59,37
68,48,52.66,32,84,49,55.28,34,82,59,37
69,48,52.9,32,77,49,55.16,34,81,59,39
70,48,52.93,32,78,49,55.41,34,88,59,37
71,48,52.77,32,85,49,55.22,34,89,59,37
72,48,52.66,32,83,49,55.44,34,83,59,37
73,48,52.61,32,80,49,55.61,34,84,59,39
74,48,52.55,32,83,49,55.16,34,81,59,38
75,48,52.67,32,92,49,55.56,34,80,59,38
76,48,52.72,32,80,49,55.76,34,83,59,38
77,48,52.7,32,81,49,55.6,34,86,59,38
78,48,53.13,32,78,49,55.7,34,83,59,38
79,48,53.22,32,81,49,56.15,34,87,59,36
80,48,53.37,32,79,49,56.12,34,84,58,40
81,48,53.4,32,82,49,55.92,34,85,58,40
82,48,53.43,32,77,49,55.54,34,84,58,40
83,48,53.1,32,82,44,56.09,32,84,58,42
84,48,53.23,32,83,44,55.52,32,82,57,45
85,48,53.14,32,81,44,55.78,32,82,57,45
86,48,52.97,32,89,44,55.34,32,90,57,45
87,48,52.78,32,78,44,55.18,32,83,58,44
88,48,53.36,32,78,44,54.86,32,80,57,45
89,48,53.65,32,89,44,54.86,32,81,58,40
90,48,53.62,32,80,44,54.76,32,81,58,40
91,48,53.32,32,81,44,55.22,32,81,58,43
92,48,53.43,32,77,44,55.14,32,86,58,43
93,48,53.76,32,84,44,55.24,32,83,58,40
94,48,53.44,32,82,44,55.4,32,82,58,43
95,48,53.86,32,84,44,55.15,32,85,58,43
96,48,53.86,32,84,44,55.67,32,81,58,40
97,48,53.76,32,84,44,55.28,32,79,59,38
98,48,53.82,32,81,44,55.39,32,87,59,38
99,48,53.62,32,87,44,55.48,32,82,58,40
100,48,53.84,32,76,44,55.29,32,83,59,38
101,48,53.84,32,81,44,55.26,32,79,59,38
102,48,54.05,32,83,44,55.36,32,89,59,38
103,48,53.93,32,80,44,55.04,32,82,59,38
104,48,53.72,32,77,44,54.9,32,85,59,36
105,48,53.96,32,84,44,55.1,32,83,58,39
106,48,54.21,32,85,44,55.4,32,89,58,39
107,48,53.64,32,87,44,55.15,32,86,59,38
108,48,53.88,32,86,44,55.13,32,83,59,36
109,48,53.76,32,81,44,55.02,32,79,59,38
110,48,53.61,32,80,44,55.25,32,82,59,36
111,48,53.78,32,82,44,55.02,32,88,59,38
112,48,53.74,32,86,44,55.14,32,89,59,38
113,48,53.9,32,80,44,55.25,32,86,58,39
114,48,53.71,32,77,44,55.01,32,85,58,39
115,48,53.78,32,81,44,55.24,32,85,58,39
116,48,53.62,32,88,44,55.14,32,82,58,39
117,48,53.6,32,83,44,54.92,32,85,58,39
118,48,53.49,32,83,44,54.86,32,80,59,38
119,48,53.42,32,77,44,54.78,32,85,59,36
120,48,53,32,83,44,55.2,32,85,58,39
121,48,53.13,32,84,44,55.1,32,83,58,39
122,48,53.15,32,85,44,55.15,32,82,59,36
123,48,53.02,32,84,44,55.22,32,82,58,39
124,48,53.08,32,85,44,54.97,32,93,58,39
125,49,53.12,29,88,44,55.2,32,88,58,40
126,49,53.53,29,85,44,54.97,32,81,58,39
127,49,53.05,29,82,44,55.3,32,85,59,36
128,49,52.84,29,79,44,54.96,32,89,59,36
129,49,53.27,29,81,44,54.92,32,85,59,36
130,49,53.08,29,79,44,54.88,32,88,59,36
131,49,53.33,29,79,44,54.99,32,83,59,36
132,49,53.31,29,85,44,54.98,32,82,59,36
133,49,53.24,29,88,44,55.12,32,84,58,40
134,49,52.88,29,79,44,54.95,32,82,58,39
135,49,53.24,29,84,44,54.92,32,84,58,40
136,49,53.48,29,86,44,54.95,32,88,58,39
137,49,53.4,29,82,44,54.91,32,83,58,39
138,49,53.65,29,79,44,55.19,32,84,59,36
139,49,53.53,29,79,44,55.09,32,94,59,36
140,49,53.93,29,91,44,55.23,32,89,59,36
141,49,53.17,29,81,44,55.28,32,90,59,36
142,49,52.96,29,76,44,55.53,32,88,59,36
143,49,53.4,29,81,44,55.2,32,86,59,36
144,49,53.48,29,81,44,55.06,32,78,59,36
145,49,53.21,29,86,44,55.05,32,87,59,36
146,49,53.11,29,83,44,55.05,32,76,59,36
