Generation, Best # of Correct Squares (Column),Average Column Fitness,Best Column Fitness,Worst Column Fitness,Best # of Correct Squares (Row),Average Row Fitness,Best Row Fitness,Worst Row Fitness,Best # of Correct Squares (WoC),WoC Fitness
1,17,19.46,24,27,15,18.9,23,22,21,25
2,19,18.86,7,32,22,18.25,8,31,24,24
3,19,16.85,7,26,22,16.26,7,29,24,20
4,19,15.8,7,25,26,15.3,3,29,25,13
5,26,14.84,5,29,26,14.46,3,29,26,8
6,26,14.11,5,24,26,14.14,3,25,26,8
7,26,14.1,5,25,26,13.85,3,25,26,8
8,26,13.82,5,25,26,13.14,3,32,26,6
9,26,13.58,5,23,26,12.68,3,24,26,7
10,26,13.32,5,27,26,12.18,3,22,27,3
11,26,12.27,5,23,26,11.82,3,22,27,3
12,26,12.12,5,23,26,11.14,3,24,27,3
13,26,11.73,5,21,26,11.28,3,25,27,5
14,26,11.44,5,22,26,10.92,3,23,27,5
15,26,11.06,5,23,26,10.36,3,22,27,3
16,26,10.26,5,24,26,9.66,3,26,27,6
17,26,10.32,5,23,26,9.19,3,22,27,3
18,27,9.46,3,21,26,8.38,3,25,27,3
19,27,9.24,3,24,26,8.15,3,20,27,3
20,27,8.58,3,20,26,7.88,3,21,27,3
21,27,7.89,3,19,26,7.53,3,22,27,3
22,27,7.36,3,22,26,6.86,3,21,27,3
23,27,7.12,3,22,26,6.78,3,21,27,3
24,27,7.18,3,21,26,6.76,3,25,27,3
25,27,6.88,3,20,26,6.9,3,22,27,3
26,27,6.65,3,17,26,6.8,3,20,27,3
27,27,6.66,3,25,26,6.68,3,20,27,6
28,27,6.58,3,21,26,6.49,3,24,27,6
29,27,6.04,3,19,26,5.92,3,18,27,3
30,27,6.23,3,22,26,6.1,3,21,28,0
