Generation, Best # of Correct Squares (Column),Average Column Fitness,Best Column Fitness,Worst Column Fitness,Best # of Correct Squares (Row),Average Row Fitness,Best Row Fitness,Worst Row Fitness,Best # of Correct Squares (WoC),WoC Fitness
1,24,20.54,22,27,21,21.11,23,19,28,26
2,29,20.23,9,32,28,20.91,10,34,32,12
3,30,18.27,6,29,31,18.5,8,27,32,12
4,30,17,6,27,28,17.52,5,28,32,12
5,30,16.26,6,26,28,16.81,5,29,33,9
6,30,15.78,6,29,28,16.29,5,30,33,7
7,30,15.5,6,27,28,15.37,5,28,33,5
8,30,14.94,6,26,28,15.06,5,27,33,7
9,30,14.72,6,24,28,14.62,5,26,34,3
10,30,14.29,6,24,28,14.42,5,27,34,3
11,29,14.37,5,25,28,14.28,5,28,34,3
12,29,14.31,5,26,28,14.24,5,27,32,7
13,29,14.16,5,25,28,13.8,5,25,33,6
14,29,14.08,5,28,28,13.62,5,24,33,6
15,29,14,5,26,28,13.4,5,26,33,4
16,29,13.8,5,28,31,12.94,4,27,33,4
17,29,13.72,5,27,31,12.46,4,27,32,4
18,29,13.24,5,28,31,11.95,4,25,32,4
19,29,13.14,5,24,31,11.92,4,23,33,6
20,29,12.9,5,25,31,12.02,4,26,33,6
21,29,12.81,5,23,31,11.82,4,23,32,4
22,29,12.73,5,22,31,11.5,4,26,32,4
23,29,12.48,5,21,31,11.41,4,28,33,4
24,29,12.4,5,23,31,11.04,4,22,32,4
25,29,12.5,5,23,31,11.58,4,22,32,4
26,29,12.16,5,22,31,11.52,4,24,32,4
27,29,11.69,5,22,31,10.84,4,23,32,4
28,30,11.78,4,25,33,10.98,3,26,32,4
29,30,11.81,4,24,33,10.44,3,26,32,4
30,30,11.48,4,23,33,10.58,3,22,32,4
31,30,11.67,4,21,33,10.38,3,23,32,4
32,30,11.76,4,21,33,10.22,3,26,32,4
33,30,11.8,4,23,33,10.2,3,24,32,4
34,30,11.8,4,23,33,10.48,3,19,32,9
35,30,11.45,4,19,33,10.65,3,22,32,9
36,30,11.86,4,25,33,10.41,3,23,32,9
37,30,11.78,4,24,33,9.97,3,18,32,9
38,30,11.43,4,22,33,10.19,3,23,32,9
39,30,11.18,4,20,33,9.98,3,21,32,9
40,30,11.32,4,21,33,10.22,3,25,32,9
41,30,11.43,4,26,33,10.36,3,20,32,9
42,30,11.73,4,27,33,10.18,3,20,32,10
43,30,11.34,4,23,33,10.5,3,24,33,9
44,30,11.22,4,22,33,10.33,3,20,34,6
45,30,10.84,4,21,33,10.15,3,22,33,9
46,30,11.04,4,24,33,10.6,3,24,33,9
47,30,10.97,4,22,33,10.5,3,21,33,9
48,30,10.34,4,22,33,10.12,3,24,32,8
49,30,10.51,4,22,33,9.76,3,21,33,9
50,30,10.73,4,25,33,9.99,3,22,33,9
51,30,10.52,4,26,33,9.94,3,25,33,7
52,31,10.47,3,23,33,9.82,3,19,33,7
53,31,10.38,3,26,33,9.85,3,23,33,7
54,31,10.92,3,24,33,9.69,3,24,33,4
55,31,10.59,3,24,34,9.27,1,18,33,4
56,31,10.98,3,21,34,9.47,1,20,33,4
57,31,10.83,3,20,34,9.65,1,22,33,4
58,31,10.92,3,22,34,9.33,1,24,33,4
59,31,10.85,3,24,34,9.12,1,21,33,4
60,31,10.68,3,23,34,9.14,1,20,33,4
61,31,10.93,3,22,34,9.3,1,22,34,1
62,31,11.22,3,23,34,9.14,1,22,34,1
63,31,11.05,3,22,34,8.78,1,24,34,1
64,31,10.58,3,21,34,8.82,1,20,33,4
65,31,10.68,3,23,34,9.01,1,24,33,4
66,31,10.66,3,25,34,9.02,1,19,33,4
67,31,10.42,3,25,34,9.12,1,21,34,1
68,31,10.4,3,20,34,8.97,1,21,34,1
69,31,10.4,3,22,34,8.88,1,24,33,4
70,31,10.6,3,23,34,8.97,1,18,34,1
