Generation, Best # of Correct Squares (Column),Average Column Fitness,Best Column Fitness,Worst Column Fitness,Best # of Correct Squares (Row),Average Row Fitness,Best Row Fitness,Worst Row Fitness,Best # of Correct Squares (WoC),WoC Fitness
1,13,25.42,30,25,18,17.96,30,12,22,17
2,20,25.56,8,44,23,18.39,7,32,24,12
3,20,23.88,8,40,23,17.24,7,28,24,12
4,20,23.16,8,38,23,16.88,7,33,24,11
5,20,22.14,8,38,23,16.3,7,29,24,12
6,20,21.53,8,40,24,16.06,6,29,24,8
7,20,21.31,8,40,24,15.72,6,27,24,8
8,20,20.24,8,32,24,15.38,6,28,25,6
9,20,20.11,8,32,24,15.16,6,26,25,6
10,20,20.18,8,33,24,15.22,6,29,25,6
11,20,20.14,8,34,24,14.94,6,30,25,6
12,20,20.4,8,42,24,14.4,6,25,25,6
13,20,19.66,8,33,24,14.31,6,24,25,6
14,20,19.48,8,37,24,14.33,6,28,25,6
15,20,19.2,8,32,24,13.95,6,24,25,6
16,20,19.39,8,34,24,14.1,6,25,25,6
17,20,19.09,8,31,24,14.14,6,28,25,6
18,20,19.14,8,34,24,13.75,6,24,25,6
19,20,18.68,8,35,24,13.82,6,25,25,6
20,20,18.95,8,35,24,13.73,6,26,25,6
21,20,18.89,8,33,24,13.72,6,29,25,9
22,20,18.99,8,32,24,13.6,6,24,25,6
23,20,18.49,8,37,24,13.88,6,28,25,6
24,20,18.4,8,34,24,14.08,6,27,25,6
25,20,18.36,8,33,24,13.58,6,28,25,8
26,20,18.18,8,31,24,13.53,6,23,25,6
27,20,17.98,8,36,24,13.66,6,24,25,6
28,20,18.02,8,33,24,13.58,6,24,24,9
29,20,18.08,8,32,24,13.31,6,25,25,6
30,20,18.31,8,32,24,13.5,6,30,25,6
31,20,17.82,8,30,24,13.2,6,25,24,9
32,20,18.11,8,39,24,13.2,6,27,24,9
33,20,17.5,8,31,24,13.44,6,30,24,9
34,20,17.74,8,31,24,13.18,6,27,24,9
35,20,17.74,8,31,24,13.48,6,28,25,8
36,20,17.62,8,31,24,13.47,6,22,25,8
37,20,17.6,8,30,24,13.32,6,26,25,8
38,20,17.84,8,33,24,13.54,6,25,25,8
39,20,18.11,8,35,24,13.24,6,25,25,6
40,20,18.06,8,28,25,13.45,5,27,25,6
41,20,18.39,8,35,25,13.13,5,26,25,6
42,20,18.35,8,31,25,13.42,5,28,25,6
43,20,18.4,8,33,25,13.28,5,26,25,6
44,20,18.15,8,33,25,13.32,5,26,25,6
45,20,18.2,8,36,25,13.45,5,26,25,6
46,20,18.1,8,32,25,13.39,5,25,25,8
47,20,18.38,8,35,25,13.52,5,29,25,6
48,20,18.19,8,35,25,13.49,5,31,25,6
49,20,18.17,8,33,25,13.28,5,25,25,6
50,20,18.25,8,34,25,13.28,5,28,25,8
51,20,17.93,8,38,25,13.16,5,26,25,8
52,20,17.7,8,32,25,13.37,5,26,25,6
53,20,17.74,8,31,25,13.32,5,24,24,9
54,20,18.12,8,31,25,13.35,5,29,24,9
55,20,18.26,8,34,25,13.32,5,26,25,6
56,20,18.48,8,41,25,13.26,5,24,25,6
57,20,18.39,8,35,25,13.51,5,27,24,9
58,24,18.5,7,34,25,13.69,5,30,24,9
59,24,18.12,7,36,25,13.54,5,26,25,6
60,24,18.36,7,33,25,13.62,5,26,25,6
61,24,18.44,7,34,25,13.64,5,30,25,8
62,24,18.63,7,33,25,13.88,5,26,24,9
63,24,18.18,7,35,25,13.53,5,28,24,9
64,24,18.73,7,33,25,13.34,5,25,24,9
65,24,18.1,7,34,25,13.76,5,27,25,8
66,24,18,7,35,25,13.54,5,25,25,8
67,24,18.1,7,33,25,13.84,5,31,25,8
68,24,18.32,7,31,25,13.97,5,28,24,9
69,24,18.36,7,36,25,13.61,5,30,25,8
70,24,18.42,7,34,25,13.63,5,25,25,8
71,24,18.32,7,36,25,13.58,5,26,24,9
72,24,18.17,7,36,25,13.55,5,26,24,9
73,24,17.92,7,35,25,13.46,5,28,24,9
74,24,18.56,7,33,25,13.64,5,26,25,8
75,24,18.3,7,33,25,13.25,5,22,24,9
76,24,18.18,7,37,25,13.22,5,25,24,9
77,24,18.14,7,32,25,13.44,5,29,24,9
78,24,17.92,7,37,25,13.38,5,25,24,9
79,24,17.92,7,38,25,13.35,5,25,24,7
80,24,17.87,7,35,25,13.35,5,27,24,9
81,24,17.66,7,37,25,13.12,5,26,24,9
82,24,17.6,7,32,25,13.6,5,34,25,6
83,24,17.63,7,33,25,13.54,5,30,24,7
84,24,17.63,7,33,25,13.32,5,26,24,7
85,24,17.98,7,35,25,13.18,5,32,25,6
86,24,17.56,7,32,25,13.06,5,25,25,6
87,24,17.79,7,32,25,12.94,5,26,25,6
88,24,17.84,7,35,25,12.92,5,26,25,6
89,24,17.8,7,32,25,13.02,5,25,25,6
90,24,17.87,7,32,25,12.88,5,26,25,6
91,24,18.29,7,36,25,12.58,5,26,25,6
92,24,18.22,7,38,25,12.47,5,21,25,6
93,24,18.16,7,36,25,12.86,5,24,25,6
94,24,18,7,33,25,12.7,5,27,25,6
95,24,17.97,7,34,25,13.08,5,27,25,6
96,24,17.74,7,34,25,13.16,5,28,25,6
97,24,17.92,7,32,25,12.92,5,26,25,6
98,24,17.92,7,32,25,12.9,5,28,25,6
99,24,17.96,7,31,25,13,5,25,25,6
100,24,18.02,7,38,25,12.82,5,24,25,6
101,24,18.21,7,32,25,13.12,5,26,25,6
102,24,17.86,7,35,25,12.86,5,25,25,6
103,24,17.88,7,35,25,12.74,5,27,25,6
104,24,17.88,7,31,25,12.44,5,22,25,6
105,24,18.24,7,36,25,12.56,5,29,25,6
106,24,18.18,7,34,25,12.72,5,25,25,6
107,24,18.14,7,37,25,12.92,5,26,25,6
108,24,18.16,7,31,25,13.08,5,25,25,6
109,24,18.3,7,34,25,13.04,5,27,25,6
110,24,18.1,7,40,25,12.73,5,24,25,6
111,24,17.67,7,32,25,12.62,5,24,25,6
112,24,18.28,7,35,25,12.78,5,24,25,6
113,24,18.29,7,39,25,12.68,5,23,25,6
114,24,17.9,7,31,25,12.44,5,23,26,6
115,24,17.89,7,31,25,12.54,5,23,26,6
116,24,17.73,7,35,25,12.65,5,23,25,3
117,24,17.67,7,34,25,12.7,5,25,25,3
118,24,17.36,7,33,25,12.72,5,25,25,3
119,24,17.2,7,34,25,12.5,5,23,25,3
120,24,17.75,7,38,25,12.82,5,31,25,3
121,24,17.84,7,38,25,12.53,5,24,25,3
122,24,17.59,7,29,25,12.48,5,27,25,3
123,24,17.66,7,34,25,12.68,5,28,25,3
124,22,18.05,6,42,25,12.93,5,25,25,3
125,22,18.03,6,30,25,12.78,5,23,25,6
126,22,17.62,6,32,25,12.88,5,25,25,6
127,22,17.42,6,30,25,12.74,5,22,25,6
128,22,17.44,6,31,25,12.79,5,27,25,6
129,22,17.37,6,32,25,12.86,5,22,25,6
130,22,17.59,6,31,25,12.86,5,24,25,8
131,22,17.56,6,29,25,12.86,5,26,25,6
132,22,17.78,6,31,25,13.05,5,23,25,6
133,22,18,6,30,25,12.94,5,24,25,6
134,22,17.9,6,34,25,12.96,5,25,25,6
135,22,17.64,6,30,25,12.78,5,27,25,6
136,22,17.95,6,31,25,12.83,5,26,25,6
137,22,17.91,6,34,25,12.76,5,23,25,6
138,22,17.66,6,38,25,12.62,5,24,25,8
139,22,18,6,34,25,12.58,5,25,25,6
140,22,17.7,6,31,25,12.9,5,31,25,10
141,22,17.9,6,35,25,12.37,5,23,25,6
142,22,17.77,6,35,25,12.5,5,23,25,8
143,22,17.77,6,33,25,12.32,5,27,25,6
144,22,17.56,6,35,25,12.28,5,27,25,8
145,22,17.8,6,40,25,12.16,5,23,25,8
146,22,17.76,6,33,25,12.2,5,22,25,6
147,22,18.3,6,31,25,12.37,5,24,25,6
148,22,18.6,6,34,25,12.43,5,26,25,6
149,22,18.4,6,30,25,12.43,5,24,25,6
150,22,18.52,6,32,25,12.2,5,24,25,6
151,22,18.5,6,35,25,12.07,5,24,25,6
152,22,18.27,6,30,25,12.17,5,24,25,8
153,22,18.29,6,34,25,11.97,5,23,25,6
154,22,18.54,6,35,25,11.96,5,21,25,6
155,22,18.39,6,31,25,12.01,5,23,25,6
156,22,18.56,6,34,25,12.2,5,24,26,6
157,22,18.43,6,36,25,12.14,5,24,25,6
158,22,18.84,6,34,25,12.18,5,26,26,5
159,22,18.66,6,32,25,11.73,5,22,25,6
160,22,18.82,6,35,25,12.2,5,26,26,5
