Generation, Best # of Correct Squares (Column),Average Column Fitness,Best Column Fitness,Worst Column Fitness,Best # of Correct Squares (Row),Average Row Fitness,Best Row Fitness,Worst Row Fitness,Best # of Correct Squares (WoC),WoC Fitness
1,50,58.95,55,55,55,52.21,51,49,70,36
2,55,58.64,30,90,59,52.66,29,72,69,50
3,55,54.41,30,77,59,50.54,29,72,70,40
4,58,52.02,26,75,58,49.42,27,74,69,42
5,58,49.58,26,75,58,48.66,27,79,69,45
6,58,48.32,26,71,58,47.84,27,67,69,45
7,58,47.16,26,71,58,47.61,27,68,69,45
8,58,46.98,26,76,58,47.01,27,71,69,40
9,58,46.27,26,67,58,47.17,27,67,69,40
10,57,45.47,25,76,58,46.8,27,68,69,40
11,57,45.14,25,69,58,46.63,27,70,69,40
12,57,44.46,25,78,58,46.33,27,66,69,39
13,57,45.04,25,73,58,46.13,27,72,69,39
14,57,44.84,25,70,58,45.99,27,66,69,39
15,57,44.68,25,72,58,46.01,27,69,69,39
16,57,44.47,25,68,58,45.9,27,68,69,39
17,57,44.86,25,71,58,45.55,27,69,69,38
18,57,44.94,25,65,58,45.21,27,66,69,38
19,57,44.85,25,71,58,45.03,27,68,69,38
20,57,44.69,25,70,58,45.2,27,66,69,38
21,57,44.23,25,76,58,44.66,27,67,69,38
22,57,43.58,25,73,58,44.64,27,70,69,38
23,56,43.46,24,68,58,44.56,27,68,69,38
24,56,43.52,24,70,58,44.65,27,70,69,38
25,56,43.4,24,68,58,44.35,27,70,69,38
26,59,43.44,23,81,58,44.27,27,63,69,38
27,59,43.5,23,73,58,44.27,27,66,69,38
28,59,42.95,23,65,58,44.12,27,70,69,38
29,59,42.81,23,64,58,43.98,27,68,69,38
30,59,43.26,23,73,58,43.3,27,65,69,38
31,59,42.94,23,70,60,43.78,26,72,69,38
32,59,43.26,23,72,65,43.37,25,67,69,32
33,59,43.33,23,67,63,43.01,24,65,69,32
34,59,43.3,23,71,63,42.92,24,68,69,32
35,59,43.53,23,77,63,42.21,24,65,69,32
36,59,43.72,23,73,63,42.65,24,68,69,32
37,59,43.74,23,70,63,42.63,24,66,69,32
38,59,43.67,23,65,63,42.34,24,61,69,32
39,59,43.6,23,74,63,42.32,24,73,69,32
40,59,43.73,23,66,63,42.27,24,71,69,32
41,59,43.41,23,71,63,42.45,24,63,69,32
42,59,43.71,23,73,63,42.03,24,67,69,29
43,59,43.48,23,66,63,42.14,24,70,69,29
44,59,43.35,23,70,63,41.65,24,74,69,29
45,59,44,23,72,63,41.4,24,69,69,29
46,59,44.06,23,77,63,41.54,24,61,69,29
47,59,43.13,23,69,63,41.97,24,67,69,29
48,59,43.57,23,64,63,41.73,24,66,69,29
49,59,43.93,23,69,63,41.93,24,63,69,29
50,59,43.94,22,67,63,42.03,24,66,69,29
51,59,43.34,22,69,63,42.02,24,70,69,29
52,59,43.72,22,69,63,41.68,24,65,69,29
53,59,43.92,22,71,63,41.83,24,65,69,29
54,59,43.42,22,68,63,42.03,24,67,69,29
55,59,43.25,22,67,63,42.06,24,66,69,29
56,59,43.68,22,71,63,42.52,24,67,69,29
57,59,43.47,22,69,63,41.94,24,67,69,29
