Generation, Best # of Correct Squares (Column),Average Column Fitness,Best Column Fitness,Worst Column Fitness,Best # of Correct Squares (Row),Average Row Fitness,Best Row Fitness,Worst Row Fitness,Best # of Correct Squares (WoC),WoC Fitness
1,37,94.41,96,123,53,56.85,70,57,66,84
2,53,89,51,146,63,55.64,33,93,67,82
3,50,79.68,39,114,63,52.4,33,73,69,82
4,62,73.23,37,105,70,50.52,31,74,68,86
5,62,68.92,37,115,70,49.6,31,68,68,86
6,62,66.38,37,94,70,48.43,31,68,68,88
7,62,64.5,37,97,70,47.83,31,74,68,87
8,62,63.63,37,96,70,47.08,31,70,68,88
9,62,62.61,37,87,70,46.67,31,67,69,88
10,62,62.21,37,87,58,46.3,28,72,69,83
11,62,61.64,37,100,58,46.29,28,68,70,80
12,62,62.18,37,92,58,45.56,28,68,70,81
13,61,61.65,36,92,58,45.38,28,67,70,78
14,61,61.64,36,93,58,45.11,28,65,70,78
